round_epochs,val_loss,val_mse,loss,mse,activation,batch_size,dropout,epochs,kernel_initializer,last_activation,losses,lr,number_of_neurons,optimizer
100,0.006998098561950101,0.0069980984553694725,0.006715123436634282,0.006715122,relu,30,0,100,uniform,linear,mse,0.5,75,Adam
100,0.007326331813940924,0.007326331455260515,0.006683272886040963,0.0066832723,relu,30,0,100,uniform,linear,mse,0.5,100,Adam
100,0.006802922331664916,0.006802922114729881,0.006654818812507744,0.0066548195,relu,30,0,100,uniform,linear,mse,0.5,125,Adam
100,0.006997201382342638,0.006997202057391405,0.006500072536107741,0.0065000723,relu,30,0,100,uniform,linear,mse,0.5,150,Adam
100,0.007081843903681633,0.007081844378262758,0.006519749095467361,0.0065197484,relu,30,0,100,uniform,linear,mse,0.5,175,Adam
100,0.0068018670610796245,0.006801866926252842,0.006607999284261544,0.006607999,relu,30,0,100,uniform,linear,mse,0.5,200,Adam
100,0.008673901369265501,0.008673900738358498,0.008612357976993447,0.008612356,relu,30,0,100,uniform,linear,mse,0.7,1,Adam
100,0.007501856168326766,0.0075018564239144325,0.0073866842013146534,0.007386685,relu,30,0,100,uniform,linear,mse,0.7,25,Adam
100,0.006841308644845577,0.006841309368610382,0.006796000841024675,0.0067960043,relu,30,0,100,uniform,linear,mse,0.7,50,Adam
100,0.00726127474624133,0.007261275313794613,0.006748882168168692,0.0067488803,relu,30,0,100,uniform,linear,mse,0.7,75,Adam
100,0.006852012112885823,0.006852013524621725,0.006701304664173605,0.006701303,relu,30,0,100,uniform,linear,mse,0.7,100,Adam
100,0.00666162939783376,0.0066616288386285305,0.006503847939648519,0.0065038456,relu,30,0,100,uniform,linear,mse,0.7,125,Adam
100,0.007582387083927298,0.0075823841616511345,0.0065169700748581244,0.006516972,relu,30,0,100,uniform,linear,mse,0.7,150,Adam
100,0.006815241933923785,0.00681524071842432,0.006450756629683862,0.006450759,relu,30,0,100,uniform,linear,mse,0.7,175,Adam
100,0.006701418273205812,0.0067014191299676895,0.006468204423834226,0.006468203,relu,30,0,100,uniform,linear,mse,0.7,200,Adam
100,0.014972259960647797,0.014972263015806675,0.014816245198936054,0.014816244,relu,30,0,100,uniform,linear,mse,1,1,Adam
100,0.007687070165337237,0.007687069941312075,0.0072443223903935995,0.007244324,relu,30,0,100,uniform,linear,mse,1,25,Adam
100,0.00726868963353464,0.007268689572811127,0.007054182287354611,0.007054179,relu,30,0,100,uniform,linear,mse,1,50,Adam
100,0.007292046744219981,0.00729204760864377,0.006702984141578015,0.006702984,relu,30,0,100,uniform,linear,mse,1,75,Adam
100,0.007123699364291727,0.0071236989460885525,0.006708003344798558,0.006708002,relu,30,0,100,uniform,linear,mse,1,100,Adam
100,0.006897308087216101,0.006897306069731712,0.006619168959165874,0.0066191717,relu,30,0,100,uniform,linear,mse,1,125,Adam
100,0.007128966938954008,0.007128966972231865,0.006455835696726449,0.0064558354,relu,30,0,100,uniform,linear,mse,1,150,Adam
100,0.006780089680924243,0.00678009120747447,0.006479959601634427,0.006479962,relu,30,0,100,uniform,linear,mse,1,175,Adam
100,0.0066828803641425195,0.006682880222797394,0.006456550226154688,0.0064565497,relu,30,0,100,uniform,linear,mse,1,200,Adam
